Severity,Distance(mi),Street,City,Country,State,Temperature(F),Wind_Chill(F),Visibility(mi),Wind_Direction,Weather_Condition,Traffic_Signal,Sunrise_Sunset
2,0.01,42007,2380,243,33,21.0,10.6,2.5,21,34,0,1
2,0.01,11508,1468,759,33,21.9,9.8,2.0,21,34,1,1
2,0.01,8227,1468,759,33,22.5,12.4,1.2,15,34,0,0
2,0.01,38033,1468,759,33,22.5,12.4,1.2,15,34,0,0
2,0.01,38033,1468,759,33,22.5,12.4,1.2,15,34,0,0
3,0.01,27297,1237,399,33,24.8,16.1,1.8,22,34,0,0
2,0.0,5015,1468,759,33,21.2,8.9,2.0,22,34,0,0
2,0.01,25866,6470,1206,33,21.0,10.6,1.2,21,34,0,0
2,0.01,9952,5805,1206,33,21.0,10.6,1.2,21,34,0,0
2,0.0,10272,904,380,33,21.9,10.4,0.8,15,34,0,0
3,0.01,19444,3811,759,33,21.0,10.6,1.2,21,34,0,0
3,0.01,41782,4512,1206,33,21.0,10.6,1.2,21,34,0,0
3,0.01,28405,2882,297,33,32.0,22.5,10.0,21,46,0,0
3,0.01,19311,3600,297,33,32.0,22.5,10.0,21,46,0,0
3,0.01,19436,2494,399,33,21.2,9.5,5.0,21,46,0,0
2,0.01,32682,2029,476,33,27.0,13.5,2.5,21,34,1,0
2,0.0,34908,2380,243,33,16.2,4.7,5.0,22,34,0,1
2,0.0,25022,1237,399,33,15.8,2.7,4.0,21,34,1,1
2,0.01,31949,1955,452,33,15.4,1.0,7.0,15,34,0,1
3,0.01,12630,4794,732,33,14.0,-1.4,7.0,22,34,0,0
3,0.01,28402,1237,399,33,15.1,4.2,1.0,15,34,0,0
2,0.01,21629,4203,243,33,15.8,6.1,1.8,22,34,0,0
2,0.0,19664,1237,399,33,16.0,1.7,1.5,21,34,0,0
2,0.0,20927,326,243,33,15.8,2.7,4.0,22,34,0,0
2,0.01,13417,5100,399,33,16.0,4.4,1.0,21,34,0,0
3,0.01,27296,2222,320,33,17.6,5.0,3.0,22,9,0,0
3,0.01,28403,1237,399,33,15.8,3.4,1.5,22,34,0,0
3,0.01,12501,1237,399,33,17.1,3.0,1.5,22,34,0,0
3,0.01,19435,3588,945,33,16.0,2.9,7.0,21,46,0,1
3,0.01,16853,1155,297,33,14.0,0.5,9.0,9,34,0,1
3,0.01,38535,44,1109,33,14.0,1.2,4.0,9,34,0,1
3,0.01,19311,1155,297,33,17.1,-0.3,10.0,9,46,0,1
2,0.01,16210,851,399,33,5.0,-2.1,10.0,15,2,0,1
3,0.01,19450,44,1109,33,12.0,0.5,2.0,22,34,0,1
3,0.01,19436,1155,297,33,15.1,-1.6,10.0,9,43,0,0
2,0.01,18738,1468,759,33,7.5,-1.1,10.0,14,53,0,0
2,0.01,38033,1468,759,33,7.5,-1.1,10.0,14,53,0,0
2,0.01,12743,1237,399,33,12.0,2.7,9.0,20,46,1,0
2,0.48,25073,1237,399,33,12.0,1.5,10.0,22,46,0,0
3,0.01,19311,3600,297,33,18.0,-0.2,10.0,20,46,0,0
2,0.0,39616,1468,759,33,10.9,0.2,10.0,20,43,1,0
2,0.01,38033,1468,759,33,13.6,7.7,10.0,18,46,0,0
3,0.01,32401,1237,399,33,10.4,2.2,10.0,16,46,0,0
2,0.01,25223,1468,759,33,13.6,7.7,10.0,18,46,0,0
2,0.0,8489,1468,759,33,18.0,6.1,10.0,20,43,0,0
2,0.0,22415,1468,759,33,18.0,8.7,10.0,20,2,0,0
2,0.01,38876,1468,759,33,18.5,7.5,10.0,20,43,1,0
2,0.01,25347,1468,759,33,19.9,9.3,10.0,20,43,0,0
2,0.01,24789,1468,759,33,19.9,9.3,10.0,20,43,1,0
2,0.01,35510,1468,759,33,21.6,13.0,10.0,22,43,1,0
2,0.01,35410,1468,759,33,21.6,13.0,10.0,22,43,0,0
2,0.0,6260,1468,759,33,21.0,14.6,10.0,20,43,0,0
2,0.01,40490,1468,759,33,21.0,11.4,10.0,10,43,1,0
3,0.01,19445,1468,759,33,21.0,11.4,10.0,10,43,0,0
2,0.01,19444,1468,759,33,21.0,11.4,10.0,9,43,0,1
3,0.01,27297,1237,399,33,17.1,11.7,10.0,15,43,0,1
2,0.0,32163,1468,759,33,26.6,14.3,10.0,22,34,1,0
2,0.01,35606,1468,759,33,25.5,12.9,7.0,22,34,0,0
3,0.01,19432,1237,399,33,16.0,1.7,10.0,9,43,0,1
3,0.01,14054,1237,399,33,10.0,-4.5,10.0,9,47,0,0
3,0.01,19435,5563,720,33,8.1,-8.4,10.0,20,53,0,0
3,0.01,19445,6169,732,33,10.9,-1.8,10.0,9,53,0,0
3,0.01,27297,1237,399,33,12.9,-3.4,10.0,8,43,0,0
3,0.01,28402,1237,399,33,12.9,-3.4,10.0,8,43,0,0
3,0.01,27296,1237,399,33,10.0,0.4,10.0,12,53,0,0
3,0.01,32401,1237,399,33,12.9,-0.2,10.0,13,53,0,0
3,0.01,19393,1237,399,33,12.9,-0.2,10.0,13,53,0,0
3,0.01,12743,1237,399,33,15.8,3.4,0.5,3,59,0,1
2,0.01,13982,6705,245,33,23.0,13.9,2.5,13,46,0,1
2,0.01,8565,3811,759,33,23.0,13.9,1.5,13,46,0,1
3,0.01,41173,1468,759,33,23.0,15.8,0.2,13,25,0,1
2,0.0,16883,1468,759,33,24.1,17.0,1.5,13,34,0,1
2,0.01,9796,1468,759,33,24.1,18.2,0.8,12,25,0,1
2,0.0,41349,1155,297,33,21.0,9.3,4.0,13,34,0,0
3,0.01,19445,1468,759,33,24.1,18.2,0.8,12,25,0,0
3,0.01,23348,1468,759,33,26.1,17.6,4.0,16,46,0,0
2,0.01,33437,1237,399,33,24.1,17.0,1.0,12,25,1,0
2,0.01,20733,1468,759,33,25.0,17.1,0.8,16,46,1,0
2,0.01,33229,6596,399,33,24.1,17.0,1.0,12,25,1,0
2,0.0,8469,44,1109,33,23.0,15.8,2.0,13,46,0,0
2,0.01,12969,1237,399,33,26.1,19.4,1.0,13,25,1,0
2,0.0,12467,1468,759,33,27.0,23.0,2.5,14,25,0,0
2,0.01,40490,1468,759,33,32.0,26.4,1.5,13,46,1,0
2,0.01,7405,4644,647,33,32.0,24.8,5.0,16,46,0,0
2,0.01,40490,1468,759,33,32.0,26.4,4.0,16,46,1,0
2,0.01,34360,1237,399,33,30.9,23.5,2.0,16,43,1,0
1,0.0,22535,4338,297,33,33.1,27.7,7.0,13,46,0,0
2,0.01,41692,2496,399,33,33.6,30.6,7.0,4,23,1,1
2,0.0,24447,6102,284,33,32.0,26.4,0.5,3,8,0,1
3,0.01,25073,1237,399,33,32.0,24.8,1.2,9,34,0,1
3,0.01,19450,44,1109,33,34.0,28.0,1.2,10,34,0,1
3,0.01,19435,4515,399,33,32.2,25.8,3.0,9,34,0,1
2,0.0,7749,851,399,33,32.0,26.4,2.5,8,34,0,1
3,0.01,25073,1237,399,33,33.1,26.1,5.0,8,46,0,1
3,0.01,10273,1621,399,33,33.1,26.1,5.0,8,46,0,1
2,0.01,34464,1237,399,33,32.0,23.0,5.0,8,46,1,1
2,0.01,41325,1237,399,33,32.0,23.6,2.0,8,46,0,1
2,0.0,28387,1468,759,33,30.9,22.2,2.0,9,46,0,1
3,0.01,19435,5901,297,33,32.0,24.8,1.8,10,34,0,1
2,0.01,19646,364,759,33,32.0,24.8,3.0,9,46,0,1
2,0.01,37377,2496,399,33,32.0,24.8,7.0,9,46,1,1
3,0.01,19432,1237,399,33,32.0,25.6,3.0,8,46,0,1
2,0.01,27489,1110,877,33,32.0,23.6,7.0,9,46,0,1
2,0.01,35350,2494,399,33,32.0,25.6,3.0,8,46,0,1
2,0.01,25347,1468,759,33,30.0,21.1,2.0,8,46,1,0
3,0.01,28406,1237,399,33,32.0,24.2,3.0,9,46,0,0
2,0.01,12394,3588,945,33,30.0,21.1,5.0,8,46,0,0
3,0.01,38535,44,1109,33,34.0,28.0,1.8,10,34,0,0
3,0.01,25022,1237,399,33,32.0,24.8,5.0,8,46,0,0
2,0.01,19664,1237,399,33,32.0,24.2,3.0,9,46,0,0
3,0.01,25016,1237,399,33,32.0,28.7,2.5,9,46,0,0
2,0.01,15728,1468,759,33,30.0,23.2,1.5,9,46,1,0
3,0.01,28403,1237,399,33,32.0,24.8,4.0,9,46,0,0
2,0.01,17118,851,399,33,32.0,26.4,3.0,9,46,0,0
2,0.01,39687,1237,399,33,32.0,26.4,2.5,9,46,0,0
2,0.0,30103,1468,452,33,31.1,25.4,6.0,20,46,0,0
2,0.01,35484,1468,759,33,30.9,22.8,6.0,20,9,1,0
2,0.01,34058,1468,759,33,30.0,24.1,1.8,9,34,1,0
2,0.0,20841,1468,759,33,31.1,25.4,6.0,20,46,0,0
2,0.0,31382,1468,759,33,31.1,25.4,6.0,20,46,0,0
3,0.01,10273,1621,399,33,32.0,23.0,2.5,22,46,0,0
3,0.01,40806,2860,923,47,35.1,27.9,2.0,21,46,0,0
2,0.01,25223,1468,759,33,32.4,25.3,10.0,22,46,1,0
2,0.01,13417,6809,452,33,30.4,26.9,10.0,22,46,1,1
2,0.01,31876,1468,759,33,30.0,23.2,6.0,20,46,0,1
2,0.01,31561,1237,399,33,28.4,21.2,7.0,20,46,1,1
2,0.01,35909,454,243,33,30.9,27.5,7.0,22,46,0,1
2,0.01,19449,44,1109,33,28.0,21.7,7.0,15,46,0,1
3,0.01,27477,1866,655,33,28.0,20.8,6.0,22,46,0,1
3,0.01,19444,1468,759,33,30.0,24.1,5.0,22,9,0,1
3,0.01,38535,44,1109,33,28.0,21.7,7.0,15,46,0,0
2,0.0,40490,1468,759,33,30.0,22.4,3.0,9,46,0,0
3,0.01,18521,4754,380,33,30.0,26.5,7.0,21,46,0,0
2,0.01,35484,1468,759,33,30.0,25.2,3.0,22,46,1,0
2,0.01,26988,6596,399,33,30.2,23.4,5.0,22,9,0,0
3,0.01,6590,300,1109,33,28.0,22.8,6.0,21,9,0,0
2,0.0,41046,1468,759,33,30.7,24.9,4.0,20,46,0,0
2,0.01,38033,1468,759,33,30.7,24.9,4.0,20,46,0,0
2,0.0,15654,759,1219,33,27.0,18.0,4.0,21,46,0,0
3,0.01,28405,2882,297,33,30.0,21.1,6.0,21,34,0,0
2,0.01,27179,1468,759,33,30.0,22.4,2.5,9,46,0,0
3,0.01,19445,1468,759,33,31.1,25.4,6.0,20,46,0,0
2,0.01,25347,1468,759,33,32.0,26.4,4.0,22,46,0,0
3,0.01,19433,6841,773,33,33.1,27.7,5.0,22,9,0,0
2,0.0,39057,1468,759,33,32.0,26.4,4.0,22,9,0,0
2,0.01,15201,3811,759,33,35.1,32.2,9.0,9,46,1,0
2,0.01,39739,1468,759,33,36.0,28.5,10.0,8,43,0,0
2,0.0,40105,1237,399,33,35.1,26.4,9.0,22,46,1,0
2,0.01,41094,1237,399,33,31.1,27.7,10.0,9,46,0,1
2,0.01,16785,1155,297,33,19.0,11.1,10.0,12,2,1,1
3,0.01,18521,4754,380,33,28.0,21.7,9.0,7,46,0,1
3,0.01,30585,1155,297,33,12.9,6.9,8.0,13,2,0,0
3,0.01,16853,1155,297,33,12.9,6.9,8.0,13,2,0,0
3,0.01,25022,1237,399,33,27.0,23.0,7.0,4,53,0,0
2,0.01,22145,3811,759,33,27.0,23.0,5.0,16,9,0,0
3,0.01,19432,1237,399,33,27.0,23.0,7.0,4,53,0,0
3,0.01,28405,1155,297,33,16.0,6.3,10.0,3,2,0,0
2,0.0,26933,1468,759,33,30.9,27.5,5.0,12,9,1,0
3,0.01,19435,1155,297,33,16.0,6.3,10.0,3,2,0,0
2,0.01,30750,1237,399,33,27.0,19.5,8.0,4,2,1,0
2,0.01,9170,1155,297,33,16.0,6.3,10.0,3,2,1,0
3,0.01,27296,1237,399,33,30.0,23.2,7.0,4,43,0,0
3,0.01,19436,1155,297,33,21.9,12.5,10.0,3,2,0,0
3,0.01,19311,1155,297,33,21.9,12.5,10.0,3,2,0,0
3,0.01,28405,2882,297,33,24.1,17.0,10.0,13,2,0,0
3,0.01,36037,4033,676,33,32.0,26.4,7.0,3,53,0,0
3,0.01,7071,1468,759,33,39.0,33.4,9.0,16,43,1,0
2,0.0,40927,364,759,33,37.9,31.5,10.0,16,2,0,0
2,0.01,25179,1468,759,33,39.9,33.4,10.0,12,43,1,0
2,0.01,32682,1468,759,33,39.9,33.4,10.0,12,43,1,0
2,0.01,41139,1468,759,33,39.9,33.4,10.0,12,43,0,0
3,0.01,39977,6100,732,33,37.9,28.2,10.0,13,46,0,0
2,0.0,22454,1468,759,33,37.9,28.9,10.0,12,2,0,0
3,0.01,19432,1237,399,33,35.1,29.3,9.0,3,46,0,0
2,0.01,28207,1237,399,33,36.0,28.5,10.0,3,2,0,0
2,0.01,25347,1468,759,33,39.9,30.8,10.0,13,46,1,1
2,0.01,5989,3963,759,33,39.9,32.9,10.0,16,2,0,1
2,0.01,40077,1237,399,33,35.4,28.4,10.0,12,2,0,1
3,0.01,28403,1237,399,33,34.9,27.1,10.0,13,2,0,1
2,0.01,17118,1237,399,33,35.4,29.7,10.0,13,2,0,1
2,0.01,35902,326,243,33,43.5,37.1,10.0,16,2,1,1
2,0.0,23285,1468,759,33,41.0,34.7,10.0,13,2,0,1
2,0.0,36910,1237,399,33,36.0,27.5,10.0,12,43,1,1
2,0.01,26080,2986,647,33,37.0,28.9,10.0,12,46,0,0
2,0.01,25223,1468,759,33,42.8,37.0,10.0,13,43,1,0
2,0.01,18540,2725,399,33,37.0,29.3,10.0,12,2,1,0
2,0.01,18540,2725,399,33,37.0,29.3,10.0,12,2,1,0
3,0.01,19396,1468,452,33,42.8,37.0,10.0,13,43,0,0
2,0.0,12910,614,1256,33,43.0,34.5,10.0,16,2,0,0
3,0.01,14188,1237,399,33,37.0,28.9,10.0,12,46,0,0
3,0.01,19436,2222,320,33,46.4,39.2,10.0,16,2,0,0
2,0.01,33431,1468,759,33,29.5,23.4,10.0,10,2,0,1
2,0.0,36459,614,1256,33,28.0,21.7,10.0,7,2,0,1
2,0.01,12743,5100,399,33,30.9,27.5,10.0,6,47,0,1
2,0.01,32355,1237,399,33,30.9,27.5,10.0,6,47,1,1
2,0.01,16210,851,399,33,32.0,26.4,10.0,7,46,0,1
3,0.01,18521,4754,380,33,33.1,26.9,10.0,6,46,0,0
2,0.01,21284,1237,399,33,28.9,25.2,10.0,8,2,0,0
2,0.01,32222,1468,759,33,27.9,24.0,10.0,6,2,1,0
2,0.0,30199,1468,759,33,27.9,24.0,10.0,6,2,0,0
2,0.01,16675,2380,243,33,32.5,28.1,10.0,7,2,1,0
3,0.01,23886,1237,399,33,28.9,25.2,10.0,8,2,0,0
3,0.01,26988,6596,399,33,35.1,30.1,10.0,6,53,0,0
2,0.01,11574,3545,1206,33,36.0,33.3,10.0,6,2,0,0
2,0.0,22134,1468,759,33,34.0,26.6,10.0,2,2,0,0
2,0.0,26939,1468,759,33,33.1,26.9,10.0,6,53,0,0
2,0.01,25347,1468,759,33,36.0,29.6,10.0,6,53,0,0
2,0.0,18933,1468,759,33,37.0,32.4,10.0,6,2,0,0
2,0.01,13914,1468,759,33,37.0,32.4,10.0,6,2,1,0
2,0.01,24789,1468,759,33,36.0,29.6,10.0,6,53,1,0
2,0.0,40851,1468,759,33,41.0,34.3,10.0,6,43,1,0
2,0.01,33145,1468,759,33,42.8,38.0,10.0,4,53,0,0
2,0.01,33145,1468,759,33,42.8,38.0,10.0,4,53,1,0
2,0.01,15723,1468,759,33,43.0,38.8,10.0,7,43,0,0
2,0.01,6750,6290,655,33,41.0,34.3,10.0,6,43,0,0
3,0.01,18521,4754,380,33,30.9,27.5,10.0,6,43,0,1
2,0.0,39967,5805,1206,33,30.0,21.1,10.0,2,2,1,1
2,0.01,35907,3837,243,33,31.8,28.5,10.0,2,2,1,1
2,0.01,28206,1237,399,33,28.9,21.9,10.0,6,2,0,0
2,0.01,35907,3837,243,33,32.0,26.4,10.0,2,2,0,0
2,0.01,13922,1468,759,33,30.9,22.2,10.0,2,2,1,0
2,0.01,35484,3811,759,33,30.9,22.2,10.0,2,2,1,0
3,0.01,19394,1237,399,33,33.8,27.0,10.0,6,2,0,0
2,0.01,15728,1468,759,33,35.1,27.9,10.0,7,47,1,0
2,0.01,38407,1468,759,33,38.3,30.9,10.0,6,2,0,0
2,0.01,25840,1237,399,33,39.9,34.5,10.0,10,2,1,0
2,0.01,28854,1468,759,33,39.0,30.6,10.0,6,53,1,0
3,0.01,19435,705,297,33,36.0,26.7,10.0,6,43,0,0
3,0.01,19436,2494,399,33,44.6,39.7,10.0,7,53,0,1
2,0.01,35484,3963,759,33,41.0,31.6,4.0,2,30,1,1
2,0.01,8565,1468,759,33,42.1,33.9,3.0,6,50,1,1
3,0.01,19444,1468,759,33,37.9,27.3,2.5,6,15,0,1
3,0.01,16741,614,1256,33,33.1,23.0,3.0,6,27,0,1
3,0.01,19395,1955,452,33,39.2,29.8,6.0,2,30,0,1
2,0.01,23347,3811,759,33,42.1,34.9,4.0,6,50,1,1
2,0.01,37524,1468,759,33,40.6,34.8,9.0,2,50,1,1
2,0.01,23886,1237,399,33,42.8,38.0,9.0,4,30,1,1
3,0.01,19311,1155,297,33,33.8,23.9,2.5,6,50,0,1
3,0.94,35606,1468,759,33,40.6,34.8,9.0,2,50,0,1
2,0.01,5437,1468,452,33,40.6,34.8,9.0,2,50,0,1
2,0.01,27479,300,1109,33,39.9,32.5,4.0,2,50,0,0
2,0.01,37788,2171,923,47,49.0,45.0,10.0,1,3,0,0
2,0.01,38033,1468,759,33,40.6,34.8,9.0,2,50,0,0
2,0.01,16274,1237,399,33,42.8,37.5,5.0,4,30,0,0
2,0.01,26084,1237,399,33,42.8,37.5,5.0,4,30,0,0
2,0.01,35484,3963,759,33,44.1,36.8,5.0,2,50,0,0
2,0.01,27479,300,1109,33,39.9,32.5,4.0,4,50,0,0
3,0.01,19395,1955,452,33,41.0,33.1,3.0,7,50,0,0
3,0.01,19446,44,1109,33,39.9,32.5,4.0,4,50,0,0
3,0.01,28405,2882,297,33,35.1,24.5,2.0,6,50,0,0
3,0.01,37976,300,1109,33,39.9,32.5,4.0,4,50,0,0
2,0.01,11480,1468,759,33,44.1,37.1,1.8,2,15,0,0
1,0.0,27773,826,463,33,46.0,40.6,7.0,4,30,0,0
2,0.01,5989,3963,759,33,44.1,37.1,1.8,2,15,0,0
2,0.01,32546,1468,759,33,41.0,33.1,3.0,7,50,0,0
2,0.01,39739,1468,759,33,39.0,30.6,1.8,6,50,0,0
2,0.01,21636,1468,759,33,41.0,33.1,3.0,7,50,0,0
2,0.01,12813,1509,320,33,41.0,34.3,7.0,4,5,1,0
2,0.01,34930,1468,759,33,45.0,37.9,2.0,2,30,1,0
3,0.01,16741,614,1256,33,35.1,25.9,1.5,6,30,0,0
2,0.01,39739,1468,759,33,44.1,39.0,8.0,6,46,0,0
2,0.0,35954,3989,243,33,33.8,23.9,10.0,22,46,0,1
2,0.0,26111,1237,399,33,30.2,20.2,3.0,22,34,0,1
2,0.01,31395,4422,655,33,30.9,17.8,0.5,9,59,0,0
2,0.01,42224,1468,759,33,33.4,24.3,7.0,22,34,0,0
3,0.01,12969,1237,399,33,32.0,21.6,9.0,22,46,0,0
2,0.01,30579,1468,759,33,33.1,21.9,4.0,20,34,1,0
3,0.01,36411,2494,399,33,33.8,24.3,7.0,20,46,0,0
2,0.01,28305,1468,759,33,33.1,24.4,4.0,22,34,0,0
2,0.01,27148,3811,759,33,35.1,24.5,2.5,22,34,0,0
2,0.01,25347,1468,759,33,33.1,21.2,5.0,20,34,1,0
2,0.01,26933,1468,759,33,33.1,21.2,5.0,20,34,0,0
2,0.01,39795,1237,399,33,32.0,24.8,10.0,9,46,0,0
2,0.01,41139,1468,759,33,34.3,27.0,10.0,22,46,0,0
3,0.01,19436,1237,399,33,32.0,24.2,10.0,20,46,0,0
3,0.01,37977,300,1109,33,28.9,19.2,5.0,9,34,0,0
2,0.01,13826,1468,759,33,33.1,24.9,10.0,20,46,1,0
3,0.01,28402,6596,399,33,42.1,37.7,10.0,16,53,0,1
2,0.01,35484,1468,759,33,41.0,33.1,6.0,22,9,0,1
2,0.01,7630,1468,759,33,37.0,27.4,8.0,20,46,0,1
2,0.0,21344,3600,297,33,36.0,24.7,10.0,22,46,0,1
3,0.01,19445,3811,759,33,39.0,31.0,10.0,22,46,0,0
3,0.01,19394,1237,399,33,37.9,29.6,10.0,20,46,0,0
2,0.0,30750,1468,759,33,37.9,30.0,10.0,22,46,0,0
2,0.01,35137,44,1109,33,37.0,28.1,10.0,20,46,1,0
2,0.01,17200,1468,759,33,39.0,32.8,4.0,22,9,1,0
2,0.0,17727,1468,759,33,39.2,32.0,10.0,22,46,0,0
2,0.0,42092,1468,452,33,39.2,30.8,10.0,21,46,1,0
2,0.0,7630,1468,759,33,42.1,33.6,10.0,15,43,0,0
3,0.01,30842,1237,399,33,44.6,37.2,10.0,21,53,0,0
3,0.01,19445,4794,732,33,44.6,41.4,10.0,15,53,0,1
2,0.01,11898,1468,759,33,46.0,41.0,10.0,15,47,0,1
2,0.0,23348,1468,759,33,45.0,42.6,10.0,16,2,1,1
2,0.0,33389,1237,399,33,34.0,31.0,10.0,12,2,0,1
2,0.01,35484,3811,759,33,37.9,32.1,10.0,13,2,0,1
2,0.01,12678,1468,759,33,37.0,30.4,10.0,13,43,0,0
2,0.01,17485,1237,399,33,35.6,32.8,10.0,13,2,1,0
2,0.01,13382,1237,399,33,37.0,33.3,10.0,3,43,1,0
3,0.01,30842,1237,399,33,33.8,30.8,10.0,3,2,0,0
2,0.01,35484,3811,759,33,39.0,28.0,10.0,20,46,1,1
3,0.01,19445,614,1256,33,28.9,19.2,10.0,20,46,0,0
2,0.01,28403,1237,399,33,30.9,25.2,10.0,9,53,0,0
3,0.01,28403,1237,399,33,30.9,21.7,10.0,20,53,0,0
2,0.01,13776,647,297,33,25.0,14.8,10.0,20,43,0,0
2,0.01,37527,1468,759,33,29.8,23.9,10.0,21,2,1,1
2,0.0,12649,1468,759,33,28.9,23.9,10.0,15,47,1,1
2,0.0,6879,1237,399,33,25.0,19.3,10.0,12,43,0,1
2,0.01,35968,2159,973,33,25.2,20.9,10.0,12,46,0,1
3,0.01,13558,1237,399,33,27.0,19.5,10.0,12,46,0,1
2,0.0,8227,1468,759,33,30.2,24.3,3.0,16,34,0,0
2,0.0,11037,1468,759,33,30.2,24.3,3.0,16,34,0,0
3,0.01,28403,1237,399,33,26.6,20.0,10.0,12,46,0,0
3,0.01,14188,1237,399,33,28.0,19.3,10.0,3,46,0,0
2,0.01,35908,519,245,33,28.9,25.2,4.0,13,34,0,0
2,0.01,32546,1468,759,33,30.6,24.7,10.0,12,34,0,0
3,0.01,16960,1237,399,33,30.2,24.3,10.0,12,46,1,0
3,0.01,19445,1468,759,33,30.0,22.4,1.0,13,34,0,0
2,0.0,6475,1468,759,33,32.0,27.5,1.0,12,34,0,0
2,0.0,23348,1468,759,33,34.0,26.0,3.0,13,34,0,0
2,0.0,11437,1468,759,33,32.0,25.6,2.5,12,34,0,0
2,0.0,39616,1468,759,33,33.1,26.1,1.5,13,34,0,0
2,0.01,38033,1468,759,33,33.1,26.9,1.5,13,34,0,0
2,0.01,32118,1468,759,33,33.1,26.9,1.0,13,34,0,0
2,0.0,36284,4754,380,33,33.1,26.1,2.0,12,34,0,0
2,0.01,26084,1237,399,33,30.2,25.4,1.0,16,34,0,0
3,0.01,13231,1468,759,33,34.0,27.2,2.5,16,34,0,0
2,0.01,25347,1468,759,33,33.1,26.9,2.0,12,34,0,0
3,0.01,14188,1237,399,33,30.2,25.4,1.5,4,34,0,1
3,0.01,28206,1237,399,33,32.0,25.6,2.5,12,34,0,1
3,0.01,39687,1237,399,33,32.0,25.6,2.5,12,34,0,1
2,0.01,36473,1237,399,33,31.6,28.3,2.5,8,34,1,1
3,0.01,19436,2494,399,33,31.6,28.3,2.5,8,34,0,1
3,0.01,19433,1237,399,33,31.6,28.3,2.5,8,34,0,1
3,0.01,26933,1468,759,33,30.9,21.2,2.5,10,46,0,1
3,0.01,35606,1468,759,33,32.9,25.9,7.0,8,46,0,1
2,0.01,5369,1468,759,33,30.9,21.2,3.0,10,46,1,0
2,0.01,19445,1468,759,33,30.9,21.2,3.0,10,46,0,0
3,0.01,35606,1468,759,33,32.0,24.2,2.5,10,46,0,0
3,0.01,16741,614,1256,33,28.9,22.8,9.0,7,46,0,0
